public_space_id,osm_id,place_type,name,source_layer,nearest_crossing_id,nearest_crossing_m,crossing_within_100m,crossing_within_150m,route_nearest_crossing_id,route_nearest_crossing_m,route_vs_straight_ratio,nearest_major_road_class,nearest_major_road_m,major_road_within_150m,signals_within_50m,traffic_calming_within_100m,base_risk_score,public_space_review_priority_score,public_space_access_flags,data_quality_flags,review_wording,geometry_wkt,lon,lat
gen_0291,400025365,park,,gis_osm_landuse_a_free_1,cross_0207,412.6,False,False,cross_0207,608.9,1.48,tertiary,106.8,True,0,0,60,80,"[""major_road_within_150m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (194362.991361 676530.701313),34.93836049036699,32.18199396928105
gen_0299,559524640,park,Trumpeldor Garden,gis_osm_landuse_a_free_1,cross_0339,276.9,False,False,cross_0065,528.9,1.28,tertiary,137.7,True,0,0,60,80,"[""major_road_within_150m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (191270.788289 675311.448489),34.905608173147044,32.170925878274915
gen_0327,1069654196,playground,,gis_osm_pois_a_free_1,cross_0339,448.7,False,False,cross_0252,483.8,1.06,tertiary,17.9,True,0,0,60,80,"[""major_road_within_150m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (191440.671348 675337.228983),34.9074085566923,32.17116260071129
gen_0278,235260417,park,,gis_osm_landuse_a_free_1,cross_0293,286.5,False,False,cross_0293,442.8,1.55,tertiary,45.0,True,0,0,60,80,"[""high_network_detour_ratio"", ""major_road_within_150m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (194188.735977 677328.612362),34.93649169504273,32.18918541758243
gen_0298,448311963,park,,gis_osm_landuse_a_free_1,cross_0294,352.7,False,False,cross_0180,423.0,1.19,tertiary,108.7,True,0,0,60,80,"[""major_road_within_150m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""nearest_crossing_detail_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (192853.102011 676191.872442),34.92235976086966,32.178903816894206
gen_0294,404613900,park,,gis_osm_landuse_a_free_1,cross_0031,57.1,True,True,cross_0031,395.0,6.92,tertiary,30.7,True,0,0,50,80,"[""high_network_detour_ratio"", ""major_road_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (193703.53916 676662.362569),34.93136442606074,32.18316635536818
gen_0359,893689887,playground,,gis_osm_pois_a_free_1,cross_0023,269.7,False,False,cross_0023,393.7,1.46,secondary,90.4,True,0,0,60,80,"[""major_road_within_150m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (193133.356204 676555.636876),34.92532133592413,32.18219073702838
gen_0235,130176796,park,,gis_osm_landuse_a_free_1,cross_0252,269.0,False,False,cross_0252,353.4,1.31,tertiary,80.1,True,0,0,60,80,"[""major_road_within_150m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (191401.106058 675553.473713),34.906982738687006,32.173111651467856
gen_0231,129490164,park,גן גיבורי ישראל,gis_osm_landuse_a_free_1,cross_0044,223.6,False,False,cross_0044,312.1,1.40,tertiary,107.8,True,0,0,60,80,"[""major_road_within_150m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (191720.50633 675956.753843),34.91035748798627,32.17675623737263
gen_0227,124518872,park,,gis_osm_landuse_a_free_1,cross_0235,236.2,False,False,cross_0306,307.8,1.25,tertiary,79.8,True,0,0,60,80,"[""major_road_within_150m"", ""no_mapped_crossing_within_100m"", ""no_mapped_crossing_within_150m"", ""no_mapped_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator"", ""route_nearest_crossing_over_250m""]","[""cycleway_class_included_as_proxy_may_overestimate_walk_access"", ""motorway_trunk_track_classes_excluded_from_walk_proxy"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing"", ""nearby_sidewalk_tags_missing"", ""pilot_boundary_osm_geofabrik_not_official"", ""route_network_proxy_from_osm_roads_not_verified_walk_route""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (192697.633004 675727.966467),34.92072426723105,32.17471675084109
