generator_id,osm_id,generator_type,name,source_layer,nearest_crossing_id,nearest_crossing_m,crossing_within_100m,crossing_within_150m,nearest_major_road_id,nearest_major_road_class,nearest_major_road_m,major_road_within_150m,signals_within_50m,nearest_crossing_signals_within_50m,nearest_crossing_major_road_m,traffic_calming_within_100m,sidewalk_no_roads_within_50m,lit_no_roads_within_50m,risk_score,risk_flags,data_quality_flags,review_wording,geometry_wkt,lon,lat
gen_0372,232411199,school,חטיבת שרת,gis_osm_pois_a_free_1,cross_0153,339.7,False,False,road_01096,motorway,76.4,True,0,0,3.3,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190415.178508 675494.174012),34.89653127132622,32.17255189694017
gen_0036,1803000282,bus_stop,בן יהודה/חטיבת הנח״ל,gis_osm_transport_free_1,cross_0031,319.4,False,False,road_00666,tertiary,6.8,True,0,0,0.0,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (193966.046092 676698.47669),34.93414699950949,32.183498000633634
gen_0172,5210721935,bus_stop,רופין/הגבורות,gis_osm_transport_free_1,cross_0158,310.9,False,False,road_00529,tertiary,6.7,True,0,0,0.0,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (192277.97063 675260.366278),34.916287999509144,32.17049000063391
gen_0037,1803000287,bus_stop,בן יהודה/חטיבת הנח״ל,gis_osm_transport_free_1,cross_0031,291.8,False,False,road_00675,tertiary,1.8,True,0,0,0.0,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (193936.197089 676716.849006),34.9338299995095,32.18366300063359
gen_0053,1803009763,bus_stop,דרך המוביל/העגורים,gis_osm_transport_free_1,cross_0031,284.4,False,False,road_01574,tertiary,5.7,True,0,0,0.0,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (193653.79649 676957.978554),34.930828999509785,32.185831000633186
gen_0373,232411203,school,"חטיבת שז""ר",gis_osm_pois_a_free_1,cross_0153,270.6,False,False,road_01096,motorway,138.8,True,0,0,3.3,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190433.304416 675561.240569),34.89672141624478,32.173157151779776
gen_0274,232412573,park,,gis_osm_landuse_a_free_1,cross_0217,265.9,False,False,road_00150,tertiary,64.7,True,0,0,0.0,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190913.540679 677533.460487),34.90175428056195,32.190954338854716
gen_0052,1803009762,bus_stop,דרך המוביל/העגורים,gis_osm_transport_free_1,cross_0031,258.9,False,False,road_01574,tertiary,5.1,True,0,0,0.0,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (193640.057273 676932.397296),34.93068399950977,32.1856000006332
gen_0366,1227803114,school,"חטיבת הביניים ע""ש יורם טהרלב",gis_osm_pois_a_free_1,cross_0188,254.5,False,False,road_00586,tertiary,53.5,True,0,0,7.8,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (189890.625729 677342.183841),34.89091265909721,32.18920304276046
gen_0204,398239488,kindergarten,,gis_osm_pois_a_free_1,cross_0202,243.5,False,False,road_01390,tertiary,72.3,True,0,0,8.2,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190225.617654 676832.214684),34.894480604927026,32.184613050702566
