source_dataset_id,source_file_name,source_layer,osm_id,code,fclass,population,name,name_search,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat,pbf_enriched_workspace_id,route_aware_workspace_id,source_gis_modified
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,85840459,1003,village,0,נטף,נטף  85840459,35.0631997,31.8292534,35.0725388,31.8368968,safe_access_pilot_85840459_pbf_enriched_v001,safe_access_pilot_85840459_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,86342235,1003,village,0,כפר שמריהו,כפר שמריהו  86342235,34.8155308,32.1794500,34.8276620,32.1944835,safe_access_pilot_86342235_pbf_enriched_v001,safe_access_pilot_86342235_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,86430927,1003,village,0,עמנואל,עמנואל  86430927,35.1296372,32.1583368,35.1465784,32.1655101,safe_access_pilot_86430927_pbf_enriched_v001,safe_access_pilot_86430927_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,86885446,1002,town,0,מזכרת בתיה,מזכרת בתיה  86885446,34.8338255,31.8390452,34.8566457,31.8579221,safe_access_pilot_86885446_pbf_enriched_v001,safe_access_pilot_86885446_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,87166765,1003,village,244,מנרה,מנרה  87166765,35.5423519,33.1944447,35.5468046,33.1997716,safe_access_pilot_87166765_pbf_enriched_v001,safe_access_pilot_87166765_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,87167119,1003,village,320,משגב עם,משגב עם  87167119,35.5466690,33.2449812,35.5507546,33.2503619,safe_access_pilot_87167119_pbf_enriched_v001,safe_access_pilot_87167119_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,87167258,1003,village,653,מעיין ברוך,מעיין ברוך  87167258,35.6029007,33.2367075,35.6123711,33.2437257,safe_access_pilot_87167258_pbf_enriched_v001,safe_access_pilot_87167258_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,87167739,1003,village,834,הגושרים,הגושרים  87167739,35.6147043,33.2166433,35.6279609,33.2243852,safe_access_pilot_87167739_pbf_enriched_v001,safe_access_pilot_87167739_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,87167832,1003,village,936,דפנה,דפנה  87167832,35.6324026,33.2251239,35.6427645,33.2342004,safe_access_pilot_87167832_pbf_enriched_v001,safe_access_pilot_87167832_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,87167982,1003,village,666,דן,דן  87167982,35.6485771,33.2361918,35.6581140,33.2436132,safe_access_pilot_87167982_pbf_enriched_v001,safe_access_pilot_87167982_route_aware_v001,False
